area,atividade,trab,com_aeg,pos_aeg,com_alb,pos_alb,focal,peri,neb,mecanico,alternativo
1,Imóvel Especial     ,217,0,0.0,0,0.0,14,0,0,175,29
10,Imóvel Especial     ,1019,0,0.0,0,0.0,9,0,0,53,23
101,Ponto Estratégico   ,106,0,0.0,0,0.0,0,3,0,100,0
101,Imóvel Especial     ,72,0,0.0,0,0.0,6,0,0,47,5
11,Ponto Estratégico   ,82,0,0.0,0,0.0,3,0,0,79,2
11,Imóvel Especial     ,554,0,0.0,0,0.0,144,0,0,196,48
12,Ponto Estratégico   ,569,0,0.0,0,0.0,3,13,0,543,1
12,Imóvel Especial     ,44,0,0.0,0,0.0,6,0,0,14,2
13,Ponto Estratégico   ,90,0,0.0,0,0.0,0,1,0,86,0
13,Imóvel Especial     ,725,0,0.0,0,0.0,6,0,0,315,12
13,Obras               ,57,0,0.0,0,0.0,1,0,0,40,6
14,Ponto Estratégico   ,221,0,0.0,0,0.0,4,6,0,218,1
14,Imóvel Especial     ,448,0,0.0,0,0.0,21,0,0,380,31
15,Ponto Estratégico   ,39,0,0.0,0,0.0,0,2,0,38,0
15,Imóvel Especial     ,130,0,0.0,0,0.0,10,0,0,20,2
16,Ponto Estratégico   ,164,0,0.0,0,0.0,2,9,0,164,0
16,Imóvel Especial     ,241,0,0.0,0,0.0,52,0,0,118,5
17,Imóvel Especial     ,22,0,0.0,0,0.0,3,0,0,22,6
18,Ponto Estratégico   ,45,0,0.0,0,0.0,0,1,0,44,1
18,Imóvel Especial     ,124,0,0.0,0,0.0,0,0,0,54,0
19,Ponto Estratégico   ,127,0,0.0,0,0.0,0,4,0,125,4
19,Imóvel Especial     ,3,0,0.0,0,0.0,0,0,0,0,0
2,Ponto Estratégico   ,45,0,0.0,0,0.0,0,0,0,44,0
2,Imóvel Especial     ,319,0,0.0,0,0.0,4,0,0,226,13
20,Ponto Estratégico   ,264,0,0.0,0,0.0,0,7,0,259,0
20,Imóvel Especial     ,66,0,0.0,0,0.0,0,0,0,63,0
21,Ponto Estratégico   ,89,0,0.0,0,0.0,0,3,0,87,0
21,Imóvel Especial     ,44,0,0.0,0,0.0,0,0,0,0,0
22,Ponto Estratégico   ,317,0,0.0,0,0.0,19,5,0,316,1
22,Imóvel Especial     ,2129,0,0.0,0,0.0,7,0,0,2107,33
23,Ponto Estratégico   ,45,0,0.0,0,0.0,0,1,0,43,0
23,Imóvel Especial     ,226,0,0.0,0,0.0,7,0,0,56,5
23,Obras               ,20,0,0.0,0,0.0,0,0,0,9,1
24,Imóvel Especial     ,39,0,0.0,0,0.0,0,0,0,2,0
25,Imóvel Especial     ,63,0,0.0,0,0.0,0,0,0,49,5
26,Imóvel Especial     ,42,0,0.0,0,0.0,0,0,0,42,17
27,Imóvel Especial     ,48,0,0.0,0,0.0,0,0,0,48,0
28,Imóvel Especial     ,155,0,0.0,0,0.0,3,0,0,22,11
28,Obras               ,15,0,0.0,0,0.0,5,0,0,7,0
29,Imóvel Especial     ,98,0,0.0,0,0.0,5,0,0,68,3
3,Ponto Estratégico   ,74,0,0.0,0,0.0,0,2,0,72,2
3,Imóvel Especial     ,38,0,0.0,0,0.0,0,0,0,32,0
4,Ponto Estratégico   ,88,0,0.0,0,0.0,4,4,0,86,0
4,Imóvel Especial     ,177,0,0.0,0,0.0,21,6,0,148,18
5,Ponto Estratégico   ,94,0,0.0,0,0.0,1,2,0,94,1
5,Imóvel Especial     ,231,0,0.0,0,0.0,10,0,0,140,16
6,Ponto Estratégico   ,131,0,0.0,0,0.0,2,2,0,127,6
6,Imóvel Especial     ,94,0,0.0,0,0.0,1,0,0,6,0
7,Imóvel Especial     ,25,0,0.0,0,0.0,1,0,0,1,1
8,Ponto Estratégico   ,131,0,0.0,0,0.0,2,2,0,126,0
8,Imóvel Especial     ,1089,0,0.0,0,0.0,8,1,0,587,53
9,Ponto Estratégico   ,181,0,0.0,0,0.0,1,2,0,172,1
9,Imóvel Especial     ,334,0,0.0,0,0.0,0,0,0,106,20
